"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1286068","occ","","","171371","Sauropareion anoplus","species","139843","","Sauropareion anoplus","species","139843","Induan","Olenekian","251.902","247.2","55754"
"1304576","occ","","","174623","Owenetta rubidgei","species","136937","","Owenetta rubidgei","species","136937","Wuchiapingian","Changhsingian","259.51","251.902","27216"
"1304767","occ","","","174663","Owenetta rubidgei","species","136937","","Owenetta rubidgei","species","136937","Wuchiapingian","Changhsingian","259.51","251.902","27216"
"1310102","occ","","","80219","n. gen. Owenetta n. sp. rubidgei","species","136937","","Owenetta rubidgei","species","136937","Wuchiapingian","Changhsingian","259.51","251.902","26950"
"1314180","occ","","","176336","Spondylolestes rubidgei","species","139850","","Spondylolestes rubidgei","species","139850","Wuchiapingian","Changhsingian","259.51","251.902","27216"
"1316956","occ","","","80216","Owenetta cf. rubidgei","species","136937","","Owenetta rubidgei","species","136937","Wuchiapingian","Changhsingian","259.51","251.902","27216"
"1343000","occ","","","181691","Owenetta sp.","genus","37521","","Owenetta","genus","37521","Induan","Olenekian","251.902","247.2","27216"
"1371695","occ","","","107286","aff. Hypsognathus sp.","genus","37529","","Hypsognathus","genus","37529","Carnian","","237","227","57902"
"1379034","occ","","IF","188750","n. gen. Prochirotherium n. sp. permicum","species","360255","subjective synonym of","Procolophonichnium tirolensis","species","378517","Lopingian","","259.51","251.902","63364"
"1380556","occ","","","188978","Sauropareion anoplus","species","139843","","Sauropareion anoplus","species","139843","Early Triassic","","251.902","247.2","63462"
"1380557","occ","","","188978","Owenetta kitchingorum","species","121092","subjective synonym of","Saurodektes rogersorum","species","120878","Early Triassic","","251.902","247.2","63462"
"1382837","occ","","","189496","n. gen. Suchonosaurus n. sp. minimus","species","362430","","Suchonosaurus minimus","species","362430","Late Severodvinian","Vyatkian","264.28","256.8","63655"
"1397832","occ","","","192672","n. gen. Mandaphon n. sp. nadra","species","368560","","Mandaphon nadra","species","368560","Anisian","","247.2","242","65394"
"1416308","occ","","","195838","Tichvinskia ? sp.","genus","37548","","Tichvinskia","genus","37548","Olenekian","","251.2","247.2","28844"
"1417154","occ","","","196078","Tichvinskia sp.","genus","37548","","Tichvinskia","genus","37548","Smithian","","251.2","248.9","28844"
